id	name	position	teams	toi	xgoalsfor	xgoalsagainst	fenwickfor	fenwickagainst	ofaceoffs	nfaceoffs	dfaceoffs	attempts	shots	goals	xgoals	shotsx
8466292	Todd Fedoruk 	Left Wing	T.B,PHX,DAL,MIN	110726	46.7887782939	66.2349830912	923	1205	362	613	456	168	125	15	12.1219858853	13.0905433316
8474531	Mike Moore 	Defense	S.J	3564	2.93020197004	3.34580096882	46	44	21	18	19	5	5	1	0.0714453924447	0.0910044331104
8476227	Joe Whitney 	Right Wing	N.J	2127	0.748775679618	1.68123280257	12	25	18	9	10	1	1	1	0.0440060347319	0.0660990998149
8476224	Chay Genoway 	Defense	MIN	1055	0.521541722119	0.259030895308	7	10	5	2	3	1	1	0	0.0413326211274	0.0507549978793
8476225	Mike Connolly 	Left Wing	COL	1481	1.08643703628	0.758046178147	21	11	11	6	2	1	1	0	0.0251012872905	0.038164395839
8467452	Rob Scuderi 	Defense	PIT,L.A	572448	343.746444134	327.997374384	5677	5812	2358	3219	2464	425	299	6	8.01364658773	7.95884259045
8458529	Alex Kovalev 	Right Wing	FLA,OTT,PIT,MTL	342141	159.283282312	167.787956656	2740	2854	1138	1417	1108	922	677	82	68.9205887802	69.9072693475
8455805	Keith Carney 	Defense	MIN	46267	22.6641928162	23.5280483495	469	462	172	233	205	42	25	1	0.914820337668	0.655962403864
8458524	Martin Lapointe 	Right Wing	CHI,OTT	36026	14.4012303315	16.5761651229	280	282	142	204	112	73	62	6	4.75793759525	5.29012816492
8458527	Philippe Boucher 	Defense	DAL,PIT	87135	37.9402645929	42.4355508536	694	736	290	402	280	174	117	4	5.56270613521	4.94369738456
8458520	Peter Forsberg 	Center	COL	12465	7.10709836707	5.50366313476	106	96	39	63	45	22	18	1	1.43115082011	1.698850099
8470744	Brady Murray 	Left Wing	L.A	2453	0.756095413119	1.30075069238	19	26	12	15	11	3	2	1	0.183524344116	0.195707835257
8470743	Lasse Kukkonen 	Defense	PHI	56262	29.3217084957	33.8967645997	511	615	204	275	255	47	31	1	1.72663781792	1.31151679531
8470741	Nigel Dawes 	Left Wing	ATL,MTL,CGY,NYR,PHX	163157	94.5298930341	88.8046702733	1605	1420	686	774	529	462	326	38	35.4443780202	34.0720371781
8471699	Andrew Cogliano 	Center	ANA,EDM	504495	271.605847893	304.244044709	4631	5157	2006	2755	2071	1121	812	94	84.1975017199	84.4318766864
8471696	Matt Lashoff 	Defense	TOR,T.B,BOS	54547	23.5553394863	28.4745889911	422	541	193	221	189	63	44	1	2.0754302768	1.98267232813
8471697	Niclas Bergfors 	Right Wing	NSH,ATL,FLA,N.J	147283	76.2215936407	82.2557775639	1447	1349	545	663	538	461	371	33	30.2255426897	34.1495082779
8471694	Kenndal McArdle 	Left Wing	WPG,FLA	21325	9.50023240782	14.624298159	174	250	73	97	107	27	19	1	1.40333314519	1.43733910471
8471692	Ryan Parent 	Defense	VAN,PHI	88024	50.5298430277	53.8989103232	849	1049	368	468	417	70	43	1	1.45714946277	1.27583179995
8471693	Jakub Kindl 	Defense	DET	232280	132.057207613	120.12237935	2298	2045	1150	1001	774	452	317	14	13.123711356	12.6220309911
